addr	old	new
405750	FUN_00405750	fixedpoint_less
405f20	FUN_00405f20	Column_getBlockChecked
405fd0	FUN_00405fd0	World_getBlockAt
406050	FUN_00406050	World_getBlockFloat
406100	FUN_00406100	Chunk_getColumnAt
4061d0	FUN_004061d0	get_field_0x10
4061e0	FUN_004061e0	get_bit6_of_byte3
4061f0	FUN_004061f0	check_type_low5_active
406210	FUN_00406210	Grid_lookup1024
406250	FUN_00406250	get_field_0x1c
406260	FUN_00406260	vec_op_self_wrapper
406280	FUN_00406280	get_low5bits_byte3
406290	FUN_00406290	Region_getChunkCell
406310	FUN_00406310	Vector_destroyTriples
406350	FUN_00406350	free_string_buffer
406380	FUN_00406380	store_6_dwords
4063b0	FUN_004063b0	std_list_construct
4063d0	FUN_004063d0	init_struct_fields_a
406970	FUN_00406970	CreatureAppearance_initDefault
406ad0	FUN_00406ad0	Creature_initEquipmentSlots
406ef0	FUN_00406ef0	Struct_initWithBuffer0x100
406f70	FUN_00406f70	init_buffer_256_a
406fd0	FUN_00406fd0	init_buffer_256_b
407020	FUN_00407020	Creature_construct
4072a0	FUN_004072a0	std_map_destroy
407650	FUN_00407650	std_vector_string_tidy
4076a0	FUN_004076a0	Creature_destruct
407730	FUN_00407730	copy_struct_0xac
4078d0	FUN_004078d0	compare_int_eq
4078f0	FUN_004078f0	item_struct_equals
4079c0	FUN_004079c0	compare_3_bytes_ne
4079f0	FUN_004079f0	vec3_scale_to
407a30	FUN_00407a30	RBTree_copyBeginThenInc
407a50	FUN_00407a50	RBTree_iterIncrement
407ad0	FUN_00407ad0	List_allocSentinel0x34
407b00	FUN_00407b00	List_allocSentinel0x20
407b30	FUN_00407b30	List_allocSentinel0x18
407b60	FUN_00407b60	List_allocNode0x134
407ba0	FUN_00407ba0	List_allocNode0x30
407be0	FUN_00407be0	List_allocNode0x14
407c20	FUN_00407c20	RBTree_destroyRecursive
407c80	FUN_00407c80	formula_diminishing_int
407cc0	FUN_00407cc0	mapItemTypeToSlotIndex
407d60	FUN_00407d60	formula_diminishing_float
407db0	FUN_00407db0	Combat_getAbilityCooldown
408230	FUN_00408230	creature_spawn_projectile
408300	FUN_00408300	calc_attack_power
4084b0	FUN_004084b0	Combat_getWindupAndRecovery
408f70	FUN_00408f70	calc_damage_value
409270	FUN_00409270	collect_equipped_items
4094a0	FUN_004094a0	calc_stat_variant
4095d0	FUN_004095d0	formula_scaled_a
409620	FUN_00409620	check_weapon_kind
409660	FUN_00409660	check_quest_id_match
4096b0	FUN_004096b0	Combat_canCastAbility
409740	FUN_00409740	formula_curve_b
409780	FUN_00409780	get_ability_cast_duration
409ac0	FUN_00409ac0	calc_regen_total
409d10	FUN_00409d10	get_ability_multiplier
409de0	FUN_00409de0	Combat_getResistFactor
409e60	FUN_00409e60	Creature_mapEraseRange
409f20	FUN_00409f20	Creature_mapEraseNode_str
40a1d0	FUN_0040a1d0	RBTree_eraseNode_plain
40a430	FUN_0040a430	Creature_mapEraseRange_v2
40a4f0	FUN_0040a4f0	Creature_mapEraseNode_vec
40a7a0	FUN_0040a7a0	Combat_mapLowerBound
40a7f0	FUN_0040a7f0	formula_scaled_b
40a840	FUN_0040a840	generate_entity_appearance
40ef90	FUN_0040ef90	list_find_by_id_byte
40efc0	FUN_0040efc0	get_value_range_a
40f0a0	FUN_0040f0a0	get_value_range_b
40f220	FUN_0040f220	roll_probability
40f2b0	FUN_0040f2b0	Combat_isSpecialSpiritActive
40f2f0	FUN_0040f2f0	Combat_getAbilityCastTime
40f520	FUN_0040f520	check_proc_chance
40f5a0	FUN_0040f5a0	Combat_isBlockingState
40f610	FUN_0040f610	check_ability_state
40f650	FUN_0040f650	Combat_isRangedOrSpecialOpcode
40f690	FUN_0040f690	Combat_isSpiritChanneling
40f6d0	FUN_0040f6d0	stub_return_zero
40f6e0	FUN_0040f6e0	check_falling_state
40f710	FUN_0040f710	Combat_isMeleeSwingOpcode
40f7f0	FUN_0040f7f0	is_ranged_ability_id
40f8b0	FUN_0040f8b0	is_consumable_effect
40f8f0	FUN_0040f8f0	get_ability_cooldown
40fb20	FUN_0040fb20	Combat_getAbilityResourceCost
40fc30	FUN_0040fc30	Combat_findTopThreatTarget
40fcf0	FUN_0040fcf0	Combat_getStaminaRegenRate
40fda0	FUN_0040fda0	Combat_computeMaxHealth
40ffe0	FUN_0040ffe0	get_cast_time
410010	FUN_00410010	Combat_selectNextAttackAnim
410290	FUN_00410290	Combat_selectSpiritAttackId
4103a0	FUN_004103a0	rbtree_inorder_walk
410400	FUN_00410400	Combat_updateAttackState
410690	FUN_00410690	Combat_updateAbilityAndProc
410f00	FUN_00410f00	pow2Mul
410f90	FUN_00410f90	pow2MulDiv
411040	FUN_00411040	std_list_push_back
411090	FUN_00411090	formula_inverse
4110d0	FUN_004110d0	creature_reset_state
411360	FUN_00411360	creature_init_fields
411540	FUN_00411540	calc_attack_power_b
4116f0	FUN_004116f0	formula_curve_c
411740	FUN_00411740	Combat_upsertBuffEntry
411800	FUN_00411800	Combat_getProjectileSpawnPos
411ad0	FUN_00411ad0	calc_damage_value_b
411d60	FUN_00411d60	Combat_getAbilityRecovery
4120f0	FUN_004120f0	formula_curve_d
412150	FUN_00412150	Combat_computeAttackSpeed
412300	FUN_00412300	Combat_sumEquipAttackBonus
412550	FUN_00412550	process_regen_tick
412670	FUN_00412670	vec3_normalize_to
412710	FUN_00412710	ostream_writeCString
4128da	FUN_004128da	ostream_writeCleanupHandler
412980	FUN_00412980	unwind_stream_dtor
4129a0	FUN_004129a0	ostream_sentry_dtor
4129d0	FUN_004129d0	std_vector_assign
412b00	FUN_00412b00	std_vector_allocate
412b60	FUN_00412b60	vector_reallocate
412bd0	FUN_00412bd0	vector_growToFit
412c40	FUN_00412c40	string_dataPtr
412c50	FUN_00412c50	delete_member_object
412c70	FUN_00412c70	zlib_compress_to_vector
412d00	FUN_00412d00	zlib_compress_buffer
412d90	FUN_00412d90	zlib_uncompress_to_vector
412e20	FUN_00412e20	zlib_inflate_stream
412f80	FUN_00412f80	Speech_scrambleBlob
413000	FUN_00413000	is_field4_nonzero
413010	FUN_00413010	SpeechDb_createBlobsTable
413070	FUN_00413070	SpeechDb_readBlobByKey
413130	FUN_00413130	SpeechDb_loadBlobToVector
413180	FUN_00413180	vector_resizeZero
413200	FUN_00413200	std_vector_size
413210	FUN_00413210	db_store_blob_wrapper
413240	FUN_00413240	db_upsert_blob
413420	FUN_00413420	resize_dword_array
413560	FUN_00413560	std_function_deleter
413590	FUN_00413590	std_function_deleter2
4135d0	FUN_004135d0	thread_entry_trampoline
413640	FUN_00413640	std_thread_start
4136d0	FUN_004136d0	uninitialized_copy_items
413710	FUN_00413710	struct_copy0x118
4137c0	FUN_004137c0	compare_3dword_eq_a
4137f0	FUN_004137f0	vector_calc_growth_0x118
413840	FUN_00413840	std_vector_reallocate_0x118
413940	FUN_00413940	std_vector_reserve_0x118
4139b0	FUN_004139b0	calc_defense_value
413aa0	FUN_00413aa0	get_effect_duration_a
413ac0	FUN_00413ac0	calc_dot_tick_value
413be0	FUN_00413be0	calc_heal_value
413ce0	FUN_00413ce0	Combat_equipHealthBonus
413df0	FUN_00413df0	get_material_color
414200	FUN_00414200	calc_value_ranged
414260	FUN_00414260	calc_defense_value_b
414350	FUN_00414350	Combat_equipSpeedBonus
414470	FUN_00414470	roll_random_level
414550	FUN_00414550	calc_gem_bonus
4149e0	FUN_004149e0	net_encode_field_u8
414a80	FUN_00414a80	net_encode_field_u16
414b20	FUN_00414b20	net_encode_field_u32
414bc0	FUN_00414bc0	net_encode_field_f32
414c60	FUN_00414c60	net_encode_field_vec5
414d40	FUN_00414d40	net_encode_field_struct0xac
414de0	FUN_00414de0	net_encode_field_creature
414e80	FUN_00414e80	net_encode_field_item0x118
414f20	FUN_00414f20	net_encode_field_int3
414fd0	FUN_00414fd0	net_encode_field_f32x3
415090	FUN_00415090	net_encode_field_2int_0x18
415150	FUN_00415150	net_encode_field_int2
4151f0	FUN_004151f0	net_decode_field_u8
415260	FUN_00415260	net_decode_field_u16
4152d0	FUN_004152d0	net_decode_field_u32
415340	FUN_00415340	net_decode_field_vec5
4153d0	FUN_004153d0	net_decode_field_struct0xac
415450	FUN_00415450	net_decode_field_creature
4154d0	FUN_004154d0	net_decode_field_item0x118
415550	FUN_00415550	net_decode_field_int3
4155d0	FUN_004155d0	net_decode_field_struct0x18
415660	FUN_00415660	net_decode_field_int2
4156e0	FUN_004156e0	compare_3dword_eq_b
415710	FUN_00415710	compare_3float_ne
415750	FUN_00415750	item_struct_equals_full
4159b0	FUN_004159b0	creature_items_equal
415b00	FUN_00415b00	item_not_equals
415b20	FUN_00415b20	net_encode_field_string
415be0	FUN_00415be0	net_encode_field_struct0x2c
415c90	FUN_00415c90	buffer_read_bounded
415cd0	FUN_00415cd0	net_decode_field_struct0x10
415d50	FUN_00415d50	net_decode_field_struct0x2c
415dd0	FUN_00415dd0	EntityData_serializeToStream
416210	FUN_00416210	EntityData_writeDelta
4168f0	FUN_004168f0	WriteBuffer_appendRaw
416930	FUN_00416930	malloc_thunk
416950	FUN_00416950	utf32_to_utf16
4169c0	FUN_004169c0	utf_convert_variant
416a20	FUN_00416a20	std_string_string_string
416a90	FUN_00416a90	u16string_moveConstruct
416b00	FUN_00416b00	U16String_ctorFromCStr
416b60	FUN_00416b60	XmlDoc_ctorInit
416b90	FUN_00416b90	U16String_assignFromCStr
416be0	FUN_00416be0	Iterator_notEqual
416c00	FUN_00416c00	std_wstring_operator
416c20	FUN_00416c20	compareResultToSign
416c30	FUN_00416c30	Iterator_derefAndAdvance
416c50	FUN_00416c50	std_string_Assign_rv
416cb0	FUN_00416cb0	std_string_Chassign
416d00	FUN_00416d00	CharTraits_assignFill
416d60	FUN_00416d60	U16String_reallocGrow
416ec0	FUN_00416ec0	std_wstring_Allocate
416ef0	FUN_00416ef0	Pool_allocBlock
416f80	FUN_00416f80	Pool_allocElementNode
417000	FUN_00417000	Pool_mallocAlignedBlock
417070	FUN_00417070	encodeUtf16Codepoint
4170c0	FUN_004170c0	std_string_append_count_char
417170	FUN_00417170	U16String_appendFill
417230	FUN_00417230	XmlPool_allocAttrNode
4172b0	FUN_004172b0	XmlPool_allocChildNode
4172f0	FUN_004172f0	U16String_assignSubstr
417410	FUN_00417410	U16String_assignPtrCount
417510	FUN_00417510	Xml_findAttributeByName
417590	FUN_00417590	Xml_getFirstChildHandle
4175c0	FUN_004175c0	Xml_findChildByName
417640	FUN_00417640	Xml_getFirstTextValue
417680	FUN_00417680	Transcode_dispatch
417730	FUN_00417730	Utf16BE_byteSwapToNative
417790	FUN_00417790	Utf8_toUtf16Alloc
4177e0	FUN_004177e0	XmlDoc_initPool
417890	FUN_00417890	Utf32BE_countUtf16Units
4178f0	FUN_004178f0	Utf32_toUtf16
417950	FUN_00417950	Utf32BE_toUtf16
4179e0	FUN_004179e0	Utf8_countUtf16Units
417ae0	FUN_00417ae0	Utf8_decodeToUtf16
417cc0	FUN_00417cc0	XmlDoc_freePool
417d30	FUN_00417d30	Xml_getRootHandle
417d50	FUN_00417d50	U16String_erase
417e00	FUN_00417e00	Xml_getRootValue
417e40	FUN_00417e40	Xml_detectEncoding
417f90	FUN_00417f90	Utf16_copyOrPassthrough
418000	FUN_00418000	XmlParse_selectHandler
4180a0	FUN_004180a0	Xml_loadAndParse
418160	FUN_00418160	Xml_getNodeName
418180	FUN_00418180	rapidxml_skip_whitespace_to_tag
4181d0	FUN_004181d0	rapidxml_parse_node_data
418280	FUN_00418280	Xml_normalizeTextRun
418360	FUN_00418360	rapidxml_parse_data_crlf
418410	FUN_00418410	Xml_parseMainLoop
4189b0	FUN_004189b0	Xml_parseWithSetjmp
418ab0	FUN_00418ab0	Xml_skipDoctypeSubset
418b60	FUN_00418b60	Xml_skipMarkedSection
418bd0	FUN_00418bd0	Xml_skipQuotedOrComment
418cf0	FUN_00418cf0	rapidxml_skip_attr_value_crlf
418db0	FUN_00418db0	rapidxml_parse_attr_value_crlf
418ea0	FUN_00418ea0	Xml_parseCommentOrCData
419210	FUN_00419210	Xml_parseProcInstr
419490	FUN_00419490	rapidxml_skip_attr_value
4194e0	FUN_004194e0	rapidxml_parse_attr_value
4195a0	FUN_004195a0	rapidxml_parse_attr_value_ws
419670	FUN_00419670	rapidxml_parse_attr_value_ws_ent
419770	FUN_00419770	rapidxml_parse_attr_value_trim
4198e0	FUN_004198e0	rapidxml_parse_attr_value_trim_ent
419a80	FUN_00419a80	Xml_shiftBufferForNewline
419ac0	FUN_00419ac0	Xml_scanCDataContent
419ba0	FUN_00419ba0	Xml_scanCommentContent
419c90	FUN_00419c90	decodeXmlEntity
419ef0	FUN_00419ef0	wstring_compareSubstr
419f80	FUN_00419f80	std_string_empty
419f90	FUN_00419f90	wstring_ctorFromSubstr
419fd0	FUN_00419fd0	std_Tree_Tree
41a000	FUN_0041a000	std_Tree_Tree_variant
41a030	FUN_0041a030	QuestTextNode_allocSentinel64
41a060	FUN_0041a060	MapNode_allocSentinel40
41a090	FUN_0041a090	SpeechTree_destroyRec
41a120	FUN_0041a120	Tree_destroyRec_oneStr
41a180	FUN_0041a180	SpeechMap_eraseRange
41a240	FUN_0041a240	RBTree_eraseNode
41a510	FUN_0041a510	Tree_eraseRange_variant
41a5d0	FUN_0041a5d0	RBTree_buyNodeStr
41a670	FUN_0041a670	QuestText_assignTree
41a6f0	FUN_0041a6f0	RBTree_copyRec
41a7b0	FUN_0041a7b0	RBTree_insertRebalance_41a7b0
41a9b0	FUN_0041a9b0	SpeechMap_findOrInsert
41ab00	FUN_0041ab00	SpeechMap_insertEach
41ae40	FUN_0041ae40	wstring_lessCompare
41af30	FUN_0041af30	RBTree_buyNode40
41af70	FUN_0041af70	QuestTextNode_copyRec
41b000	FUN_0041b000	isPunctuation
41b050	FUN_0041b050	Speech_parseTextToNodes
41b900	FUN_0041b900	RandomBehavior_listEmplaceCopy
41b930	FUN_0041b930	copyVec12Range
41b970	FUN_0041b970	RandomBehavior_copy
41b9e0	FUN_0041b9e0	RandomBehavior_init
41ba70	FUN_0041ba70	std_vector_operator
41ba90	FUN_0041ba90	vec12_reallocate
41bb80	FUN_0041bb80	vec12_reserveGrow
41c9e0	FUN_0041c9e0	World_getVoxelField
41cae0	FUN_0041cae0	getFieldAtFixedOffset
41caf0	FUN_0041caf0	std_list_push_back_41caf0
41cb40	FUN_0041cb40	std_vector_size_41cb40
41cba0	FUN_0041cba0	identityReturn
41ce90	FUN_0041ce90	computeLengthSquared_16_16
41d160	FUN_0041d160	floatVec3_to_byte3
41d190	FUN_0041d190	std_vector_Umove
41d240	FUN_0041d240	std_vector_Ucopy
41d270	FUN_0041d270	std_equal_Chunk_range
41d340	FUN_0041d340	std_vector_Ucopy_41d340
41d390	FUN_0041d390	std_vector_Move_backward
41d410	FUN_0041d410	std_vector_Ucopy_41d410
41d460	FUN_0041d460	std_vector_Ucopy_guarded
41d500	FUN_0041d500	std_vector_Ucopy_41d500
41d550	FUN_0041d550	std_vector_Ufill_default
41d5d0	FUN_0041d5d0	std_vector_Ufill_default_41d5d0
41d600	FUN_0041d600	std_vector_Ucopy_41d600
41d680	FUN_0041d680	std_vector_Ucopy_41d680
41d6c0	FUN_0041d6c0	std_vector_Umove_41d6c0
41d720	FUN_0041d720	std_vector_vector_copy
41d7e0	FUN_0041d7e0	struct_clear_fields_c_10
41d800	FUN_0041d800	RefCountedNode_init
41d820	FUN_0041d820	Chunk_copyAssign
41d8d0	FUN_0041d8d0	VoxelColumn_init
41d950	FUN_0041d950	std_vector_operator_41d950
41dae0	FUN_0041dae0	std_vector_operator_41dae0
41dc60	FUN_0041dc60	std_vector_operator_41dc60
41de30	FUN_0041de30	QuestText_copyStrings13
41df20	FUN_0041df20	struct_copyAssign_vec_str
41df70	FUN_0041df70	EntityData_copyAssign
41e2e0	FUN_0041e2e0	std_vector_operator_41e2e0
41e300	FUN_0041e300	std_vector_back_slot
41e320	FUN_0041e320	std_vector_Reserve
41e390	FUN_0041e390	std_vector_Reserve_41e390
41e400	FUN_0041e400	std_vector_Grow_calc
41e450	FUN_0041e450	std_vector_Reallocate
41e540	FUN_0041e540	std_vector_Reallocate_41e540
41e640	FUN_0041e640	std_vector_Reallocate_41e640
41e740	FUN_0041e740	std_vector_Reallocate_41e740
41e840	FUN_0041e840	std_vector_reserve
41e8f0	FUN_0041e8f0	std_vector_Grow_by
41e960	FUN_0041e960	std_vector_reserve_41e960
41ea10	FUN_0041ea10	std_vector_reserve_41ea10
41eab0	FUN_0041eab0	std_char_traits_compare
41eb20	FUN_0041eb20	std_vector_erase
41ebb0	FUN_0041ebb0	rbtree_node_isRed
41ebc0	FUN_0041ebc0	readCombatActionFromStream
41ed50	FUN_0041ed50	readHitFromStream
41ee20	FUN_0041ee20	World_deserializeZonePacket
41f4d0	FUN_0041f4d0	std_vector_push_back
41f5b0	FUN_0041f5b0	std_vector_push_back_41f5b0
41f640	FUN_0041f640	std_vector_resize
41f770	FUN_0041f770	std_vector_resize_41f770
41f880	FUN_0041f880	writeCombatActionToStream
41f9e0	FUN_0041f9e0	writeHitToStream
41faa0	FUN_0041faa0	World_serializeZoneSaveData
41fe60	FUN_0041fe60	VoxelColumn_setBlock
41ff00	FUN_0041ff00	World_fillVoxelColumn
41fff0	FUN_0041fff0	std_vector_size_41fff0
420020	FUN_00420020	std_vector_size_420020
420040	FUN_00420040	std_map_Buynode
420080	FUN_00420080	list_emplaceCopy40
4200d0	FUN_004200d0	std_map_insert_node_0x70
420100	FUN_00420100	std_map_insert_node_0x1c
420160	FUN_00420160	std_map_insert_node_string
420200	FUN_00420200	std_map_insert_node_wstring
4202b0	FUN_004202b0	std_map_insert_node_0x47a
4202e0	FUN_004202e0	std_map_insert_node_list
420380	FUN_00420380	std_map_insert_node_str_2
4203c0	FUN_004203c0	list_emplaceCopy24
420400	FUN_00420400	std_map_insert_node_0x28b
420430	FUN_00420430	std_map_insert_node_0x48
420470	FUN_00420470	std_map_insert_node_0x40
4204a0	FUN_004204a0	std_map_insert_node_Chunk
4204d0	FUN_004204d0	std_list_assign
420540	FUN_00420540	std_map_Copy
420600	FUN_00420600	std_map_Insert_rebalance
420810	FUN_00420810	std_map_insert_hint
420a60	FUN_00420a60	std_map_Insert_unique
420bb0	FUN_00420bb0	std_list_Assign_0x28
420c80	FUN_00420c80	std_list_Assign_str
420d50	FUN_00420d50	std_list_Assign_str2
420e20	FUN_00420e20	std_list_Assign_0x1c
420ef0	FUN_00420ef0	std_list_Assign_0x47a
420fc0	FUN_00420fc0	std_list_Assign_list
421090	FUN_00421090	std_list_Assign_str3
421160	FUN_00421160	std_list_Assign_0x18
421230	FUN_00421230	std_list_Assign_0x28b
421300	FUN_00421300	std_list_Assign_0x48
4213d0	FUN_004213d0	std_list_Assign_0x40
4214a0	FUN_004214a0	std_list_Assign_0x08b
421570	FUN_00421570	std_list_Assign
421640	FUN_00421640	std_list_Assign_0x14b
421710	FUN_00421710	std_list_Assign_0x70
4217e0	FUN_004217e0	std_list_Assign_arr_0x1c
4218b0	FUN_004218b0	std_list_Assign_arr
421980	FUN_00421980	std_vector_Ucopy_421980
4219c0	FUN_004219c0	serializeList_records_0x28
421a30	FUN_00421a30	serializeList_records_0x10
421aa0	FUN_00421aa0	serializeList_records_0x70
421b10	FUN_00421b10	serializeList_records_0x14
421b80	FUN_00421b80	serializeList_records_0x48
421bf0	FUN_00421bf0	serializeList_records_0x120
421c60	FUN_00421c60	serializeList_records_0x18
421ce0	FUN_00421ce0	serializeList_records_0x38
421d50	FUN_00421d50	serializeList_records_0x58
421dc0	FUN_00421dc0	serializeList_Chunk_0x148
421e30	FUN_00421e30	pair_set2
421e50	FUN_00421e50	std_wstring_basic_string_count_wch
421e80	FUN_00421e80	std_list_list_copy_0x28
421f20	FUN_00421f20	std_list_list_copy_str
421fc0	FUN_00421fc0	std_list_list_copy_str2
422060	FUN_00422060	std_list_list_copy_0x70
422100	FUN_00422100	std_list_list_copy_0x1c
4221a0	FUN_004221a0	std_list_list_copy_0x47a
422240	FUN_00422240	std_list_list_copy_list
4222e0	FUN_004222e0	std_list_list_copy_str3
422380	FUN_00422380	std_list_list_copy_0x18
422420	FUN_00422420	std_list_list_copy_0x28b
4224c0	FUN_004224c0	std_list_list_copy_0x48
422560	FUN_00422560	std_list_list_copy_0x40
422600	FUN_00422600	std_list_list_copy_0x08b
4226a0	FUN_004226a0	std_list_list_copy
422740	FUN_00422740	std_list_list_copy_0x14b
4227e0	FUN_004227e0	copyStruct_0x70
422890	FUN_00422890	initStruct_0x70_defaults
422a00	FUN_00422a00	copyStruct_0x47
422a90	FUN_00422a90	initStruct_0x47_zero
422af0	FUN_00422af0	initStruct_0x10_zero
422b10	FUN_00422b10	QuestText_copyStrings13_422b10
422c00	FUN_00422c00	Zone_extractChunkList
422c90	FUN_00422c90	copyStruct_0x38
422d00	FUN_00422d00	initStruct_0x38_zero
422d70	FUN_00422d70	copyStruct_head_plus_0x48
422da0	FUN_00422da0	copyStruct_0x48
422e10	FUN_00422e10	copyStruct_0x44
422f90	FUN_00422f90	EntityData_copyConstruct
423350	FUN_00423350	copyStruct_0x74
423400	FUN_00423400	Zone_copyStateContainer
423510	FUN_00423510	Connection_ctor
423700	FUN_00423700	std_Deallocate
423710	FUN_00423710	std_list_Tidy
423750	FUN_00423750	dtor_helper_428080
423770	FUN_00423770	std_list_Tidy_at_8
4239f0	FUN_004239f0	Connection_dtor
423c90	FUN_00423c90	copyStruct_0x28
423ce0	FUN_00423ce0	std_map_insert
423dd0	FUN_00423dd0	Server_worldUpdateSendLoop
426020	FUN_00426020	Connection_receiveDispatch
4267b0	FUN_004267b0	std_list_Buyheadnode_0x1180
4267f0	FUN_004267f0	buyNode120
426830	FUN_00426830	buyNode40
426870	FUN_00426870	buyNode28
4268b0	FUN_004268b0	buyNode80
4268f0	FUN_004268f0	buyNode24
426930	FUN_00426930	buyNode296
426970	FUN_00426970	buyNode64
4269b0	FUN_004269b0	buyNode96
4269f0	FUN_004269f0	std_list_Buynode_0x150
426a30	FUN_00426a30	buyNode16
426a70	FUN_00426a70	std_Tree_Buynode_0x1180
426b20	FUN_00426b20	scalar_deleting_destructor
426b80	FUN_00426b80	std_Tree_equal_range
426c20	FUN_00426c20	node_dtor_free_list_0x10
426c70	FUN_00426c70	iterator_base_plus4
426c80	FUN_00426c80	iterator_base_plus8
426d30	FUN_00426d30	vecInt_reallocate
426db0	FUN_00426db0	std_vector_Reallocate_426db0
426eb0	FUN_00426eb0	vecInt_reserveGrow
426f60	FUN_00426f60	std_list_Tidy_no_size
426fa0	FUN_00426fa0	std_list_erase
426fd0	FUN_00426fd0	std_list_erase_embedded_list
427000	FUN_00427000	game_inventoryAccumulateCount
4272d0	FUN_004272d0	game_buildItemDefinition
427fd0	FUN_00427fd0	std_basic_string_resize
428070	FUN_00428070	deref_getFirst
428080	FUN_00428080	Connection_destroyNestedLists
428100	FUN_00428100	list_destroyWstrings
428160	FUN_00428160	std_list_front_or_null
428170	FUN_00428170	std_list_operator
4281d0	FUN_004281d0	std_list_operator_4281d0
428230	FUN_00428230	std_list_operator_428230
428290	FUN_00428290	game_isEntityTypeSolid
4282d0	FUN_004282d0	game_isItemTypeStackable
4282f0	FUN_004282f0	game_itemTypeCategory
428360	FUN_00428360	std_list_push_back_428360
4283b0	FUN_004283b0	std_list_push_back_4283b0
428400	FUN_00428400	std_list_push_back_428400
428450	FUN_00428450	std_list_push_back_428450
4284a0	FUN_004284a0	std_list_push_back_4284a0
4284f0	FUN_004284f0	std_list_push_back_4284f0
428540	FUN_00428540	std_list_push_back_428540
428590	FUN_00428590	std_list_push_back_428590
4285e0	FUN_004285e0	std_list_push_back_4285e0
428630	FUN_00428630	game_appendItemEntry
4286b0	FUN_004286b0	ws2_32_send_all
4286f0	FUN_004286f0	World_getTileAtCoords
428780	FUN_00428780	accessor_dword_at_4
428930	FUN_00428930	array_index_stride32
